"topic","frequency","word"
"aiweiwei",133,"aiweiwei"
"aiweiwei",81,"aiww"
"aiweiwei",51,"art"
"aiweiwei",40,"greycrossstudio"
"aiweiwei",35,"aiweiweiart"
"aiweiwei",35,"amnestyhk"
"aiweiwei",35,"auction"
"aiweiwei",35,"bid"
"aiweiwei",35,"donating"
"aiweiwei",35,"happy"
"aiweiwei",35,"now"
"aiweiwei",35,"online"
"aiweiwei",35,"portrait"
"aiweiwei",35,"support"
"aiweiwei",34,"beygiant"
"aiweiwei",31,"artist"
"aiweiwei",17,"amnesty"
"aiweiwei",17,"auctin"
"aiweiwei",17,"hng"
"aiweiwei",17,"internatinal"
"aiweiwei",17,"kng"
"aiweiwei",17,"prtrait"
"aiweiwei",15,"aiweiweis"
"aiweiwei",12,"vanbiennale"
"aiweiwei",10,"visit"
"dalailama",7823,"dalailama"
"dalailama",6371,"tsemtulku"
"dalailama",6202,"buddha"
"dalailama",5760,"buddhism"
"dalailama",5113,"tibet"
"dalailama",4331,"spiritual"
"dalailama",1914,"dharamsala"
"dalailama",1849,"tibetan"
"dalailama",1658,"newage"
"dalailama",1437,"nepal"
"dalailama",1325,"tibetanyouth"
"dalailama",1173,"love"
"dalailama",1119,"yoga"
"dalailama",1034,"dharma"
"dalailama",957,"dorjeshugden"
"dalailama",944,"bigfoot"
"dalailama",859,"compassion"
"dalailama",829,"amp"
"dalailama",812,"sangha"
"dalailama",769,"dogs"
"dalailama",756,"schnauzer"
"dalailama",751,"blessed"
"dalailama",717,"zen"
"dalailama",675,"hindu"
"dalailama",665,"bhutan"
"dalailama",649,"boy"
"dalailama",648,"earth"
"dalailama",642,"images"
"dalailama",608,"family"
"dalailama",580,"lhasa"
"dalailama",570,"heres"
"dalailama",564,"mumu"
"dalailama",542,"pets"
"dalailama",529,"plse"
"dalailama",502,"httpstcovygqidutb"
"dalailama",502,"wisdom"
"dalailama",474,"tibe"
"dalailama",472,"read"
"dalailama",470,"beautiful"
"dalailama",447,"vegan"
"dalailama",444,"rinpoche"
"dalailama",429,"nature"
"dalailama",428,"supernatural"
"dalailama",425,"sikyong"
"dalailama",424,"give"
"dalailama",422,"away"
"dalailama",418,"pics"
"dalailama",396,"girl"
"dalailama",391,"kind"
"dalailama",389,"ser"
"dalailama",378,"magic"
"dalailama",355,"see"
"dalailama",335,"always"
"dalailama",314,"tibeta"
"dalailama",301,"items"
"dalailama",278,"choose"
"dalailama",278,"tibetanyou"
"dalailama",273,"languages"
"dalailama",267,"can"
"dalailama",249,"new"
"dalailama",248,"friendsofti"
"dalailama",241,"truth"
"dalailama",239,"many"
"dalailama",237,"life"
"dalailama",236,"sharing"
"dalailama",232,"just"
"dalailama",231,"friendsoftibet"
"dalailama",228,"others"
"dalailama",223,"samsara"
"dalailama",221,"model"
"dalailama",221,"nyc"
"dalailama",218,"true"
"dalailama",215,"paranormal"
"dalailama",214,"tib"
"dalailama",214,"tibetanyout"
"dalailama",209,"tolerance"
"feminism",6645,"feminism"
"feminism",1012,"women"
"feminism",819,"feminist"
"feminism",501,"amp"
"feminism",499,"female"
"feminism",484,"men"
"feminism",379,"back"
"feminism",347,"gay"
"feminism",347,"progressive"
"feminism",343,"head"
"feminism",337,"run"
"feminism",336,"covered"
"feminism",332,"mosque"
"feminism",331,"politician"
"feminism",331,"sits"
"feminism",330,"antigay"
"feminism",330,"preacher"
"feminism",329,"patcondell"
"feminism",305,"trump"
"feminism",283,"equality"
"feminism",249,"like"
"feminism",226,"maga"
"feminism",213,"dont"
"feminism",210,"can"
"feminism",202,"just"
"isis",5306,"isis"
"isis",806,"syria"
"isis",609,"amp"
"isis",588,"islam"
"isis",487,"isil"
"isis",414,"fight"
"isis",409,"will"
"isis",407,"petertownsend"
"isis",379,"mosul"
"isis",352,"iraq"
"isis",314,"pjnet"
"isis",289,"daesh"
"isis",260,"islamicstate"
"isis",256,"cpac"
"isis",248,"tcot"
"isis",240,"trump"
"isis",238,"bannon"
"isis",233,"forces"
"isis",224,"hey"
"isis",221,"taliban"
"isis",211,"iraqi"
"isis",209,"back"
"isis",209,"michaelharrisdr"
"isis",209,"themeemstreams"
"isis",203,"america"
"isis",201,"https"
"isis",200,"take"
"panda",24736,"panda"
"panda",13658,"take"
"panda",13558,"loves"
"panda",13532,"random"
"panda",13527,"selfies"
"panda",4597,"gtgt"
"panda",2109,"bao"
"panda",1455,"china"
"panda",958,"thanks"
"panda",927,"video"
"panda",913,"want"
"panda",827,"switch"
"panda",826,"nintendo"
"panda",822,"one"
"panda",760,"bbcworld"
"panda",736,"red"
"panda",716,"jackie"
"panda",696,"chan"
"panda",693,"just"
"panda",683,"scars"
"panda",673,"pandaglobalpg"
"panda",671,"now"
"panda",622,"giveaway"
"panda",617,"away"
"panda",594,"bye"
"panda",576,"winner"
"panda",574,"giving"
"panda",571,"clingy"
"panda",569,"baby"
"panda",565,"express"
"panda",564,"announced"
"panda",558,"alpharadtv"
"panda",558,"mar"
"panda",547,"fufuubc"
"panda",543,"online"
"panda",543,"via"
"panda",534,"hits"
"panda",534,"new"
"panda",524,"racks"
"panda",512,"bored"
"panda",507,"win"
"panda",505,"like"
"panda",486,"carpet"
"panda",477,"world"
"panda",476,"leaves"
"panda",470,"ambassador"
"panda",449,"global"
"panda",415,"fufuu"
"panda",412,"pandas"
"panda",402,"tonight"
"twochildpolicy",50,"policy"
"twochildpolicy",33,"child"
"twochildpolicy",28,"chinas"
"twochildpolicy",27,"two"
"twochildpolicy",19,"babies"
"twochildpolicy",19,"twochild"
"twochildpolicy",18,"year"
"twochildpolicy",13,"china"
"twochildpolicy",13,"enough"
"twochildpolicy",13,"population"
"twochildpolicy",12,"largest"
"twochildpolicy",12,"worlds"
"twochildpolicy",11,"new"
"twochildpolicy",9,"reshaping"
"twochildpolicy",8,"future"
"twochildpolicy",7,"another"
