"topic","frequency","word"
"aiweiwei",6,"aiweiwei"
"aiweiwei",1,"american"
"aiweiwei",1,"art"
"aiweiwei",1,"hail"
"aiweiwei",1,"idaho"
"aiweiwei",1,"instagram"
"aiweiwei",1,"linstagram"
"aiweiwei",1,"madison"
"aiweiwei",1,"others"
"aiweiwei",1,"penn"
"aiweiwei",1,"penndesign"
"aiweiwei",1,"via"
"aiweiwei",1,"works"
"aiweiwei",1,"佛罗伦萨"
"aiweiwei",1,"意大利"
"aiweiwei",1,"艺术家"
"feminism",99,"合法化"
"feminism",64,"男女平等"
"feminism",61,"受害者"
"feminism",58,"乘风破浪"
"feminism",50,"越来越"
"feminism",48,"穆斯林"
"feminism",43,"女孩子"
"feminism",33,"大部分"
"feminism",32,"没什么"
"feminism",32,"伊斯兰"
"feminism",30,"哈哈哈"
"feminism",26,"电视剧"
"feminism",25,"同性恋"
"feminism",24,"男朋友"
"feminism",23,"当事人"
"feminism",23,"价值观"
"feminism",22,"特朗普"
"feminism",20,"说实话"
"feminism",19,"不得不"
"feminism",19,"不好意思"
"feminism",19,"事实上"
"feminism",18,"动不动"
"feminism",18,"有意思"
"feminism",17,"忍不住"
"feminism",17,"一部分"
"feminism",16,"实际上"
"feminism",16,"意识形态"
"feminism",16,"意味着"
"feminism",16,"有时候"
"feminism",15,"半边天"
"feminism",15,"从来不"
"feminism",15,"看不起"
"feminism",15,"是因为"
"feminism",15,"小伙伴"
"feminism",14,"第一次"
"feminism",14,"女朋友"
"feminism",14,"全世界"
"feminism",14,"只不过"
"feminism",13,"gay"
"feminism",13,"情人节"
"feminism",13,"任何人"
"feminism",13,"慰安妇"
"feminism",12,"low"
"feminism",12,"差不多"
"feminism",12,"说到底"
"feminism",10,"pin"
"feminism",10,"绝大多数"
"feminism",10,"开玩笑"
"feminism",10,"一辈子"
"isis",530,"isis"
"isis",67,"特朗普"
"isis",57,"穆斯林"
"isis",53,"伊拉克"
"isis",51,"叙利亚"
"isis",49,"伊斯兰"
"isis",44,"摩苏尔"
"isis",31,"伊斯兰教"
"isis",29,"俄罗斯"
"isis",24,"trump"
"isis",24,"他妈的"
"isis",23,"无人机"
"isis",20,"新生儿"
"isis",18,"库尔德"
"isis",18,"土耳其"
"isis",13,"cia"
"isis",13,"政府军"
"isis",11,"一部分"
"isis",10,"成千上万"
"isis",10,"死里逃生"
"isis",9,"占领区"
"isis",8,"iraq"
"isis",8,"阿拉伯"
"isis",8,"恐怖主义"
"isis",7,"mosul"
"isis",7,"分配器"
"isis",7,"哈马斯"
"isis",7,"全世界"
"isis",7,"以色列"
"isis",6,"syria"
"isis",6,"成员国"
"isis",6,"统治区"
"isis",6,"意味着"
"isis",5,"bzaah"
"isis",5,"guides"
"isis",5,"lone"
"isis",5,"plots"
"isis",5,"wolves"
"isis",5,"world"
"isis",5,"利比亚"
"isis",5,"情报局"
"panda",132,"大熊猫"
"panda",31,"哈哈哈"
"panda",29,"动物园"
"panda",28,"小熊猫"
"panda",18,"穿山甲"
"panda",15,"ipanda"
"panda",12,"都江堰"
"panda",9,"纪录片"
"panda",8,"itv"
"panda",8,"饲养员"
"panda",8,"一个月"
"panda",6,"小朋友"
"panda",6,"一会儿"
"panda",6,"找上门"
"panda",5,"day"
"panda",5,"lee"
"panda",4,"pace"
"panda",4,"panda"
"panda",4,"seungri"
"panda",4,"tfbys"
"panda",4,"via"
"panda",4,"wuli"
"panda",4,"不得不"
"panda",4,"电视台"
"panda",4,"下不来"
"twochildpolicy",16,"合法化"
"twochildpolicy",15,"生育率"
"twochildpolicy",9,"计划生育"
"twochildpolicy",9,"双胞胎"
"twochildpolicy",8,"独生子女"
"twochildpolicy",7,"多一个"
"twochildpolicy",6,"一公斤"
"twochildpolicy",5,"老龄化"
"twochildpolicy",4,"suv"
"twochildpolicy",3,"马自达"
"twochildpolicy",3,"年轻人"
"twochildpolicy",3,"同性恋"
"twochildpolicy",3,"小家伙"
"twochildpolicy",3,"一辈子"
"twochildpolicy",3,"越来越"
"twochildpolicy",3,"治疗费"
"twochildpolicy",2,"zhengfu"
"twochildpolicy",2,"哺乳期"
"twochildpolicy",2,"出生率"
"twochildpolicy",2,"村支书"
"twochildpolicy",2,"打电话"
"twochildpolicy",2,"单方面"
"twochildpolicy",2,"劳动力"
"twochildpolicy",2,"老太太"
"twochildpolicy",2,"男女平等"
"twochildpolicy",2,"万左右"
"twochildpolicy",2,"婴幼儿"
"twochildpolicy",2,"增长率"
"vpn",494,"vpn"
"vpn",67,"ins"
"vpn",26,"哈哈哈"
"vpn",15,"服务器"
"vpn",14,"app"
"vpn",11,"never"
"vpn",10,"alone"
"vpn",10,"walk"
"vpn",9,"第一次"
"vpn",8,"today"
"vpn",7,"facebook"
"vpn",7,"green"
"vpn",7,"twitch"
"vpn",7,"wifi"
"vpn",6,"有意思"
"vpn",5,"youtube"
"vpn",4,"instagram"
"vpn",4,"master"
"vpn",4,"vapp"
"vpn",4,"好不容易"
"vpn",4,"加速器"
"vpn",4,"没什么"
"vpn",4,"一个月"
"vpn",4,"越来越"
"vpn",3,"singtoprachaya"
"vpn",3,"store"
"vpn",3,"twitter"
"vpn",3,"浏览器"
"vpn",3,"说实话"
"vpn",3,"演唱会"
