"topic","frequency","word"
"feminism",3,"俄罗斯"
"feminism",2,"dior"
"feminism",2,"march"
"feminism",2,"women"
"feminism",2,"创始人"
"feminism",2,"妇女节"
"feminism",2,"合法化"
"feminism",2,"候选人"
"feminism",2,"极右翼"
"feminism",2,"男女平等"
"feminism",2,"示威者"
"feminism",2,"特朗普"
"feminism",1,"aksu"
"feminism",1,"bra"
"feminism",1,"chiuri"
"feminism",1,"cnbc"
"feminism",1,"day"
"feminism",1,"elle"
"feminism",1,"ellemen"
"feminism",1,"grazia"
"feminism",1,"harada"
"feminism",1,"item"
"feminism",1,"maria"
"feminism",1,"misa"
"feminism",1,"washington"
"feminism",1,"without"
"feminism",1,"woman"
"feminism",1,"yoyo"
"feminism",1,"大部分"
"feminism",1,"发起人"
"feminism",1,"华盛顿"
"feminism",1,"画龙点睛"
"feminism",1,"来之不易"
"feminism",1,"谋略家"
"feminism",1,"星期二"
"feminism",1,"支持者"
"feminism",1,"重要性"
"feminism",1,"主会场"
"feminism",1,"组织者"
"isis",530,"isis"
"isis",67,"特朗普"
"isis",57,"穆斯林"
"isis",53,"伊拉克"
"isis",51,"叙利亚"
"isis",49,"伊斯兰"
"isis",44,"摩苏尔"
"isis",31,"伊斯兰教"
"isis",29,"俄罗斯"
"isis",24,"trump"
"isis",24,"他妈的"
"isis",23,"无人机"
"isis",20,"新生儿"
"isis",18,"库尔德"
"isis",18,"土耳其"
"isis",13,"cia"
"isis",13,"政府军"
"isis",11,"一部分"
"isis",10,"成千上万"
"isis",10,"死里逃生"
"isis",9,"占领区"
"isis",8,"iraq"
"isis",8,"阿拉伯"
"isis",8,"恐怖主义"
"isis",7,"mosul"
"isis",7,"分配器"
"isis",7,"哈马斯"
"isis",7,"全世界"
"isis",7,"以色列"
"isis",6,"syria"
"isis",6,"成员国"
"isis",6,"统治区"
"isis",6,"意味着"
"isis",5,"bzaah"
"isis",5,"guides"
"isis",5,"lone"
"isis",5,"plots"
"isis",5,"wolves"
"isis",5,"world"
"isis",5,"利比亚"
"isis",5,"情报局"
"panda",119,"大熊猫"
"panda",71,"ipanda"
"panda",15,"via"
"panda",15,"动物园"
"panda",14,"饲养员"
"panda",11,"哈哈哈"
"panda",10,"人民币"
"panda",8,"华盛顿"
"panda",8,"下不来"
"panda",7,"video"
"panda",6,"wuli"
"panda",6,"俄罗斯"
"panda",6,"六七个"
"panda",6,"旅游年"
"panda",5,"itv"
"panda",5,"第十代"
"panda",5,"歌剧院"
"panda",5,"纪录片"
"panda",5,"元宵节"
"panda",5,"战无不胜"
"panda",4,"安全门"
"panda",4,"澳大利亚"
"panda",4,"穿山甲"
"panda",4,"第一个"
"panda",4,"都江堰"
"panda",4,"多伦多"
"panda",4,"俱乐部"
"panda",4,"维也纳"
"panda",4,"小熊猫"
"twochildpolicy",3,"双胞胎"
"twochildpolicy",2,"一公斤"
"twochildpolicy",1,"via"
"twochildpolicy",1,"受益者"
"twochildpolicy",1,"消费者"
"twochildpolicy",1,"小家伙"
"twochildpolicy",1,"治疗费"
