"topic","frequency","word"
"aiweiwei",302,"aiweiwei"
"aiweiwei",196,"aiww"
"aiweiwei",112,"greycrossstudio"
"aiweiwei",102,"art"
"aiweiwei",70,"aiweiweiart"
"aiweiwei",70,"amnestyhk"
"aiweiwei",70,"auction"
"aiweiwei",70,"bid"
"aiweiwei",70,"donating"
"aiweiwei",70,"happy"
"aiweiwei",70,"now"
"aiweiwei",70,"online"
"aiweiwei",70,"portrait"
"aiweiwei",70,"support"
"aiweiwei",68,"beygiant"
"aiweiwei",62,"artist"
"aiweiwei",49,"refugee"
"aiweiwei",44,"film"
"aiweiwei",39,"crisis"
"aiweiwei",34,"amnesty"
"aiweiwei",34,"auctin"
"aiweiwei",34,"hng"
"aiweiwei",34,"internatinal"
"aiweiwei",34,"kng"
"aiweiwei",34,"prtrait"
"aiweiwei",34,"summer"
"aiweiwei",33,"aiweiweis"
"aiweiwei",33,"coming"
"aiweiwei",24,"vanbiennale"
"aiweiwei",20,"visit"
"aiweiwei",18,"films"
"aiweiwei",17,"weiwei"
"aiweiwei",16,"participant"
"aiweiwei",16,"brooklyn"
"aiweiwei",16,"sale"
"aiweiwei",16,"fgrass"
"aiweiwei",16,"see"
"aiweiwei",16,"vancouver"
"aiweiwei",15,"human"
"aiweiwei",15,"artactivism"
"aiweiwei",14,"artistfilmmaker"
"aiweiwei",14,"flow"
"aiweiwei",14,"teams"
"aiweiwei",14,"come"
"aiweiwei",14,"museum"
"aiweiwei",12,"event"
"aiweiwei",12,"according"
"aiweiwei",12,"shop"
"aiweiwei",12,"vide"
"aiweiwei",12,"engaging"
"aiweiwei",12,"exhibition"
"aiweiwei",12,"outdoor"
"aiweiwei",12,"publicart"
"aiweiwei",10,"director"
"aiweiwei",10,"sculpture"
"aiweiwei",10,"show"
"aiweiwei",10,"exhibited"
"aiweiwei",10,"huma"
"aiweiwei",10,"boat"
"aiweiwei",10,"full"
"dalailama",12823,"dalailama"
"dalailama",10254,"tsemtulku"
"dalailama",9833,"buddha"
"dalailama",8884,"buddhism"
"dalailama",8267,"tibet"
"dalailama",6733,"spiritual"
"dalailama",3117,"newage"
"dalailama",3047,"tibetan"
"dalailama",2970,"dharamsala"
"dalailama",2100,"love"
"dalailama",1902,"nepal"
"dalailama",1857,"tibetanyouth"
"dalailama",1648,"dorjeshugden"
"dalailama",1556,"yoga"
"dalailama",1550,"bigfoot"
"dalailama",1529,"amp"
"dalailama",1399,"dharma"
"dalailama",1382,"zen"
"dalailama",1339,"dogs"
"dalailama",1316,"schnauzer"
"dalailama",1183,"boy"
"dalailama",1181,"family"
"dalailama",1111,"compassion"
"dalailama",1074,"mumu"
"dalailama",1058,"pets"
"dalailama",983,"sangha"
"dalailama",893,"vegan"
"dalailama",868,"blessed"
"dalailama",848,"beautiful"
"dalailama",843,"heres"
"dalailama",835,"earth"
"dalailama",829,"rinpoche"
"dalailama",764,"magic"
"dalailama",761,"girl"
"dalailama",753,"hindu"
"dalailama",748,"ser"
"dalailama",733,"kind"
"dalailama",731,"bhutan"
"dalailama",689,"images"
"dalailama",676,"wisdom"
"dalailama",650,"lhasa"
"dalailama",620,"give"
"dalailama",619,"pics"
"dalailama",607,"away"
"dalailama",576,"tibe"
"dalailama",560,"read"
"dalailama",555,"see"
"dalailama",543,"plse"
"dalailama",523,"nature"
"dalailama",521,"supernatural"
"dalailama",508,"can"
"dalailama",506,"always"
"dalailama",498,"friendsoftibet"
"dalailama",489,"sikyong"
"dalailama",465,"life"
"dalailama",457,"sharing"
"dalailama",457,"languages"
"dalailama",449,"friendsofti"
"dalailama",439,"tibetanyou"
"dalailama",433,"choose"
"dalailama",431,"model"
"dalailama",431,"nyc"
"dalailama",404,"new"
"dalailama",399,"many"
"dalailama",398,"easy"
"dalailama",398,"genuinely"
"dalailama",398,"vegetarian"
"dalailama",398,"tibeta"
"dalailama",387,"relaxing"
"dalailama",377,"items"
"dalailama",374,"tib"
"dalailama",371,"others"
"dalailama",362,"dhar"
"dalailama",350,"truth"
"dalailama",344,"supreme"
"dalailama",344,"tsem"
"dalailama",342,"happy"
"dalailama",339,"enlightenment"
"dalailama",331,"friends"
"dalailama",327,"great"
"dalailama",324,"pray"
"dalailama",321,"mother"
"dalailama",320,"homage"
"dalailama",319,"art"
"dalailama",319,"samsara"
"dalailama",319,"grandmother"
"dalailama",314,"distributed"
"dalailama",307,"just"
"dalailama",306,"amdo"
"dalailama",304,"people"
"dalailama",304,"tibetanyout"
"dalailama",303,"true"
"dalailama",302,"golok"
"dalailama",302,"region"
"dalailama",302,"uncle"
"dalailama",292,"arrived"
"dalailama",292,"tolerance"
"dalailama",291,"paranormal"
"dalailama",287,"hes"
"dalailama",285,"super"
"dalailama",283,"tibetany"
"dalailama",271,"well"
"dalailama",270,"good"
"dalailama",269,"fami"
"dalailama",267,"statues"
"dalailama",265,"ppl"
"dalailama",265,"buddhi"
"dalailama",264,"possible"
"dalailama",261,"freetibet"
"dalailama",260,"bed"
"dalailama",260,"tucked"
"dalailama",259,"pendants"
"dalailama",258,"lov"
"dalailama",257,"shugden"
"dalailama",256,"distributing"
"dalailama",256,"picsbooklets"
"dalailama",254,"big"
"dalailama",252,"busybody"
"dalailama",252,"nose"
"dalailama",249,"video"
"dalailama",239,"free"
"dalailama",230,"cute"
"dalailama",227,"quote"
"dalailama",220,"freedom"
"dalailama",217,"cnn"
"dalailama",216,"blessing"
"dalailama",216,"dorje"
"dalailama",215,"meditation"
"dalailama",214,"may"
"dalailama",213,"lama"
"dalailama",210,"dalai"
"dalailama",207,"share"
"dalailama",203,"distribute"
"dalailama",203,"distribution"
"dalailama",201,"available"
"dalailama",201,"picspendants"
"dalailama",201,"six"
"feminism",9990,"feminism"
"feminism",1673,"women"
"feminism",1167,"feminist"
"feminism",767,"amp"
"feminism",734,"men"
"feminism",587,"female"
"feminism",447,"trump"
"feminism",413,"equality"
"feminism",406,"back"
"feminism",403,"like"
"feminism",357,"gay"
"feminism",355,"progressive"
"feminism",351,"head"
"feminism",344,"run"
"feminism",337,"real"
"feminism",337,"covered"
"feminism",334,"mosque"
"feminism",333,"sits"
"feminism",332,"politician"
"feminism",331,"antigay"
"feminism",331,"preacher"
"feminism",330,"patcondell"
"feminism",326,"can"
"feminism",315,"just"
"feminism",311,"melania"
"feminism",307,"dont"
"feminism",307,"maga"
"feminism",304,"woman"
"feminism",285,"ivanka"
"feminism",270,"wednesdaymartin"
"feminism",256,"piece"
"feminism",252,"quote"
"feminism",248,"via"
"feminism",247,"pro"
"feminism",245,"matters"
"feminism",242,"now"
"feminism",242,"will"
"feminism",236,"want"
"feminism",234,"vaw"
"feminism",233,"proudly"
"feminism",232,"friends"
"feminism",232,"timeless"
"feminism",231,"konk"
