"topic","frequency","word"
"vpn",494,"vpn"
"vpn",67,"ins"
"vpn",26,"哈哈哈"
"vpn",15,"服务器"
"vpn",14,"app"
"vpn",11,"never"
"vpn",10,"alone"
"vpn",10,"walk"
"vpn",9,"第一次"
"vpn",8,"today"
"vpn",7,"facebook"
"vpn",7,"green"
"vpn",7,"twitch"
"vpn",7,"wifi"
"vpn",6,"有意思"
"vpn",5,"youtube"
"vpn",4,"instagram"
"vpn",4,"master"
"vpn",4,"vapp"
"vpn",4,"一个月"
"vpn",4,"加速器"
"vpn",4,"好不容易"
"vpn",4,"没什么"
"vpn",4,"越来越"
"vpn",3,"singtoprachaya"
"vpn",3,"store"
"vpn",3,"twitter"
"vpn",3,"浏览器"
"vpn",3,"演唱会"
"vpn",3,"说实话"
"twochildpolicy",16,"合法化"
"twochildpolicy",15,"生育率"
"twochildpolicy",12,"双胞胎"
"twochildpolicy",9,"计划生育"
"twochildpolicy",8,"一公斤"
"twochildpolicy",8,"独生子女"
"twochildpolicy",7,"多一个"
"twochildpolicy",5,"老龄化"
"twochildpolicy",4,"suv"
"twochildpolicy",4,"小家伙"
"twochildpolicy",4,"治疗费"
"twochildpolicy",3,"一辈子"
"twochildpolicy",3,"同性恋"
"twochildpolicy",3,"年轻人"
"twochildpolicy",3,"越来越"
"twochildpolicy",3,"马自达"
"twochildpolicy",2,"zhengfu"
"twochildpolicy",2,"万左右"
"twochildpolicy",2,"出生率"
"twochildpolicy",2,"劳动力"
"twochildpolicy",2,"单方面"
"twochildpolicy",2,"哺乳期"
"twochildpolicy",2,"增长率"
"twochildpolicy",2,"婴幼儿"
"twochildpolicy",2,"打电话"
"twochildpolicy",2,"村支书"
"twochildpolicy",2,"男女平等"
"twochildpolicy",2,"老太太"
"panda",251,"大熊猫"
"panda",86,"ipanda"
"panda",44,"动物园"
"panda",42,"哈哈哈"
"panda",32,"小熊猫"
"panda",22,"穿山甲"
"panda",22,"饲养员"
"panda",19,"via"
"panda",16,"都江堰"
"panda",14,"纪录片"
"panda",13,"itv"
"panda",12,"下不来"
"panda",10,"wuli"
"panda",10,"人民币"
"panda",9,"华盛顿"
"panda",8,"一个月"
"panda",7,"video"
"panda",7,"俄罗斯"
"panda",7,"小朋友"
"panda",7,"澳大利亚"
"panda",6,"一会儿"
"panda",6,"俱乐部"
"panda",6,"元宵节"
"panda",6,"找上门"
"panda",6,"斗智斗勇"
"panda",6,"熊猫馆"
"panda",6,"电视台"
"panda",6,"起早贪黑"
"panda",5,"lee"
"panda",5,"panda"
"panda",5,"多伦多"
"panda",5,"安全门"
"panda",5,"战无不胜"
"panda",5,"第一个"
"panda",5,"第十代"
"panda",4,"pace"
"panda",4,"seungri"
"panda",4,"不得不"
"panda",4,"维也纳"
"isis",539,"isis"
"isis",71,"特朗普"
"isis",62,"伊拉克"
"isis",57,"穆斯林"
"isis",51,"叙利亚"
"isis",50,"伊斯兰"
"isis",45,"摩苏尔"
"isis",31,"伊斯兰教"
"isis",29,"俄罗斯"
"isis",24,"trump"
"isis",24,"他妈的"
"isis",23,"无人机"
"isis",20,"新生儿"
"isis",19,"库尔德"
"isis",18,"土耳其"
"isis",14,"政府军"
"isis",13,"cia"
"isis",11,"一部分"
"isis",10,"成千上万"
"isis",10,"死里逃生"
"isis",9,"占领区"
"isis",9,"阿拉伯"
"isis",8,"iraq"
"isis",8,"恐怖主义"
"isis",7,"mosul"
"isis",7,"以色列"
"isis",7,"全世界"
"isis",7,"分配器"
"isis",7,"哈马斯"
"isis",6,"syria"
"isis",6,"意味着"
"isis",6,"成员国"
"isis",6,"清真寺"
"isis",6,"统治区"
"isis",5,"bzaah"
"isis",5,"guides"
"isis",5,"lone"
"isis",5,"plots"
"isis",5,"via"
"isis",5,"wolves"
"isis",5,"world"
"isis",5,"利比亚"
"isis",5,"墨西哥"
"isis",5,"巴格达"
"isis",5,"情报局"
"isis",5,"领导人"
"feminism",93,"合法化"
"feminism",48,"受害者"
"feminism",44,"男女平等"
"feminism",40,"穆斯林"
"feminism",32,"越来越"
"feminism",28,"乘风破浪"
"feminism",28,"女孩子"
"feminism",27,"伊斯兰"
"feminism",21,"同性恋"
"feminism",21,"没什么"
"feminism",20,"哈哈哈"
"feminism",19,"大部分"
"feminism",18,"受害人"
"feminism",18,"当事人"
"feminism",16,"不好意思"
"feminism",15,"说实话"
"feminism",14,"事实上"
"feminism",14,"共青团"
"feminism",14,"半边天"
"feminism",14,"忍不住"
"feminism",14,"电视剧"
"feminism",14,"男朋友"
