"topic","frequency","word"
"panda",119,"大熊猫"
"panda",71,"ipanda"
"panda",15,"via"
"panda",15,"动物园"
"panda",14,"饲养员"
"panda",11,"哈哈哈"
"panda",10,"人民币"
"panda",8,"华盛顿"
"panda",8,"下不来"
"panda",7,"video"
"panda",6,"wuli"
"panda",6,"俄罗斯"
"panda",6,"六七个"
"panda",6,"旅游年"
"panda",5,"itv"
"panda",5,"第十代"
"panda",5,"歌剧院"
"panda",5,"纪录片"
"panda",5,"元宵节"
"panda",5,"战无不胜"
"panda",4,"安全门"
"panda",4,"澳大利亚"
"panda",4,"穿山甲"
"panda",4,"第一个"
"panda",4,"都江堰"
"panda",4,"多伦多"
"panda",4,"俱乐部"
"panda",4,"维也纳"
"panda",4,"小熊猫"
"feminism",3,"俄罗斯"
"feminism",2,"dior"
"feminism",2,"march"
"feminism",2,"women"
"feminism",2,"创始人"
"feminism",2,"妇女节"
"feminism",2,"合法化"
"feminism",2,"候选人"
"feminism",2,"极右翼"
"feminism",2,"男女平等"
"feminism",2,"示威者"
"feminism",2,"特朗普"
"feminism",1,"aksu"
"feminism",1,"bra"
"feminism",1,"chiuri"
"feminism",1,"cnbc"
"feminism",1,"day"
"feminism",1,"elle"
"feminism",1,"ellemen"
"feminism",1,"grazia"
"feminism",1,"harada"
"feminism",1,"item"
"feminism",1,"maria"
"feminism",1,"misa"
"feminism",1,"washington"
"feminism",1,"without"
"feminism",1,"woman"
"feminism",1,"yoyo"
"feminism",1,"大部分"
"feminism",1,"发起人"
"feminism",1,"华盛顿"
"feminism",1,"画龙点睛"
"feminism",1,"来之不易"
"feminism",1,"谋略家"
"feminism",1,"星期二"
"feminism",1,"支持者"
"feminism",1,"重要性"
"feminism",1,"主会场"
"feminism",1,"组织者"
"twochildpolicy",3,"双胞胎"
"twochildpolicy",2,"一公斤"
"twochildpolicy",1,"via"
"twochildpolicy",1,"受益者"
"twochildpolicy",1,"消费者"
"twochildpolicy",1,"小家伙"
"twochildpolicy",1,"治疗费"
