"","title","links.href","time","description","author.name"
"1","Crying over Spilt Milk","http://www.whatsonweibo.com/crying-over-spilt-milk/",2013-03-07,"null","Manya Koetse"
"2","Confucius goes Commercial – China’s TV Hit ‘Good Wife’","http://www.whatsonweibo.com/confucius-meets-good-wife/",2013-03-27,"A great number of trending topics on Weibo focus on China’s most-liked television dramas. Big hit drama ‘Good Wife’ (贤妻/Xianqi) is a much-discussed topic on Sina Weibo: the traditional housewife is a hot item in modern-day China.","Manya Koetse"
"3","The ‘Leftover’ Men of China","http://www.whatsonweibo.com/leftover-men-and-women/",2013-03-30,"null","Manya Koetse"
"4","The ‘Green Tea Bitch’ – Stereotyping Chinese Women","http://www.whatsonweibo.com/dangerous-women-the-green-tea-bitch/",2013-04-10,"In the spring of 2013, a new term was launched over the Chinese Internet: ‘Green Tea Bitch’ (绿茶婊 luchabiao). According to Chinese netizens, the term is used to describe ambitious women who “pretend to be very innocent”.","Manya Koetse"
"5","Overview of China’s 2013 Popular TV Dramas","http://www.whatsonweibo.com/overview-of-chinas-popular-tv-dramas/",2013-05-01,"This is a top 15 of most-watched, most-discussed TV dramas in Mainland China around March 2013 according to the Baidu charts. [Update March 2016: For more recent lists of China’s popular TV dramas, see our Top Popular Dramas of 2015 and Top 10 of Most Popular TV dramas in China of 2016.]","Manya Koetse"
"6","Li Yuchun the Handsome: China’s Supergirl","http://www.whatsonweibo.com/liyuchun/",2013-05-03,"null","Manya Koetse"
"7","From Gold Mine to Land Mine – The Chinese in Ghana","http://www.whatsonweibo.com/chineseinghana/",2013-06-13,"null","Manya Koetse"
"8","Weibo is Watching – China’s Corrupt Comrades","http://www.whatsonweibo.com/corruptcomrades/",2013-09-06,"null","Manya Koetse"
"9","China’s Digital Currency Craze : Why Chinese Love Bitcoin","http://www.whatsonweibo.com/bitcoinchina/",2013-11-29,"The end of 2013 has been a wild time for Bitcoin. 2013 has already been an explosive year for the crypto-currency, as it has risen some 5000% in US dollar terms. By November, the currency topped 1200 American dollars. What explains the enormous rise of the Bitcoin in China?","Manya Koetse"
"10","‘Everybody Was Kung Fu Fighting’ – Shaw Brothers and Chinese Cinema","http://www.whatsonweibo.com/everybody-kung-fu-fighting-run-run-shaw-chinese-film-history/",2014-01-10,"Perhaps you’ve seen the famous fighting scenes of Tarantino’s Kill Bill, know who Bruce Lee is, and have watched a kung fu movie at least once in your life – but do you know the Shaw Brothers enterprise? It’s the production company that gave martial art its worldly success on the big screen. Shaw Brothers made everybody go ‘kung fu fighting’, creating a unique Chinese cinema.","Manya Koetse"
